noun	gender-singular
Жика	m
Жикица	m
Житомир	m
Завида	m
Завиша	m
Зага	f
Загорка	f
Зарија	m
Зарије	m
Зафир	m
Захарије	m
Звездан	m
Звездана	f
Звездодраг	m
Звездослав	m
Звјездан	m
Звјездана	f
Звонимир	m
Звонка	f
Звонко	m
Здравиша	m
Здравка	f
Здравко	m
Злата	f
Златан	m
Златана	f
Златанка	f
Златибор	m
Златиборка	f
Златија	f
Златимир	m
Златинка	f
Златица	f
Златка	f
Златко	m
Златоје	m
Златомир	m
Златомирка	f
Златосав	m
Зоран	m
Зорана	f
Зоранка	f
Зорислава	f
Зорица	f
Зорка	f
Зринка	f
Зринко	m
Ива	m
Иван	m
Ивана	f
Иваниш	m
Иванка	f
Ивица	m
Ивка	f
Ивко	m
Иво	m
Ивона	f
Игњат	m
Игњатије	m
Игор	m
Иконија	f
Илија	m
Илина	f
Илинка	f
Илинко	m
Ирена	f
Ирина	f
Исаија	m
Исаило	m
Исак	m
Исидор	m
Исидора	f
Исмаил	m
Јаблан	m
Јаворка	f
Јаворко	m
Јаглика	f
Јагода	f
Јагодинка	f
Јагош	m
Јадран	m
Јадранка	f
Јадранко	m
Јаков	m
Јакша	m
Јана	f
Јандре	m
Јандрија	m
Јанићије	m
Јаница	f
Јанко	m
Јановка	f
Јанча	m
Јања	f
Јарослав	m
Јасен	m
Јасенко	m
Јасмина	f
Јасминка	f
Јасна	f
Јахве	m
Јева	f
Јевдокија	f
Јеврем	m
Јевросима	f
Јевта	m
Јевтан	m
Јевтимије	m
Јевто	m
Јегда	f
Језда	m
Јездимир	m
Јека	f
Јела	f
Јелача	f
Јелашин	m
Јелен	m
Јелена	f
Јеленка	f
Јеленко	m
Јелисав	m
Јелисава	f
Јелисавета	f
Јелисавка	f
Јелисије	m
Јелица	f
Јелка	f
Јеремија	m
Јерина	f
Јерко	m
Јеротије	m
Јефимија	f
Јефтимије	m
Јеша	f
Јоаким	m
Јова	m
Јован	m
Јована	f
Јованка	f
Јовица	m
Јовиша	m
Јовка	f
Јовко	m
Јово	m
Јока	f
Јокан	m
Јоко	m
Јоксим	m
Јоргованка	f
Јордан	m
Јорданка	f
Јосип	m
Јосиф	m
Југољуб	m
Југомир	m
Југослав	m
Југославији	m
Југославију	m
Јула	f
Јулија	f
Јулијан	m
Јулијана	f
Јулка	f
Јулкица	f
Јуноша	m
Јуриша	m
Јурош	m
Јустин	m
Јустина	f
Кадивка	f
Кажимир	m
Казимир	m
Казимира	f
Калин	m
Калина	f
Калинка	f
Каменко	m
Касија	f
Ката	f
Катарина	f
Катица	f
Кипријан	m
Кирило	m
Китан	m
Клара	f
Кована	f
ковиље	m
Ковиљка	f
Ковиљко	m
Ковина	f
Ковинка	f
Козма	m
Којадин	m
Којадинка	f
Којчин	m
Кокан	m
Комнен	m
Комненија	f
Константин	m
Корнелије	m
Коса	f
Косана	f
Косанка	f
Косара	f
Косовка	f
Косово	f
Коста	m
Костадин	m
Костадина	f
Костадинка	f
Коча	m
Коштана	f
Крагуј	m
Краинка	f
Краисав	m
Краисава	f
Крајчин	m
Красимир	m
Красоје	m
Кристина	f
Крсјана	f
Крсман	m
Крсманија	f
Крста	m
Крстан	m
Крстана	f
Крстивоје	m
Крстимир	m
Крстина	f
Крстиња	f
Крсто	m
Крстомир	m
Круна	f
Крунислав	m
Крунослава	f
Ксенија	f
Кузман	m
Кумодраг	m
Лабуд	m
Лаза	m
Лазар	m
Лазо	m
Лака	m
Лакета	m
Лако	m
Лале	m
Лана	f
Лара	f
Лата	f
Латинка	f
Лежимир	m
Лела	f
Лена	f
Ленка	f
Леонида	f
Леонора	f
Лепа	f
Лепоје	m
Лепомир	m
Лепосава	f
Лепослав	m
Лидија	f
Лиза	f
Лила	f
Лилијана	f
Лоза	f
Лозан	m
Лозана	f
Лозанка	f
Лозинка	f
Лола	m
Лујо	m
Лука	m
Луна	f
Луција	f
Луча	f
Лучија	f
Љепава	f
Љепосава	f
Љиља	f
Љиљан	m
Љиљана	f
Љуба	f
љубав	m
Љубан	m
Љубен	m
Љубенко	m
Љубивоје	m
Љубина	f
Љубинка	f
Љубинко	m
Љубисав	m
Љубисавка	f
Љубислав	m
Љубица	f
Љубиша	m
Љубо	m
Љубобрат	m
Љубодраг	m
Љубоја	m
Љубоје	m
Љубомир	m
Љубомирка	f
Љубосава	f
Љупка	f
Љупко	m
Маврен	m
Магда	f
Магдалена	f
Маја	f
Мајда	f
Макивија	f
Максим	m
Максимилијан	m
Малета	m
Малеш	m
Малина	f
Малинка	f
Малиша	m
Манда	f
Мандуша	f
Мане	m
Манојло	m
Мара	f
Марија	f
Маријана	f
Марина	f
Маринка	f
Маринко	m
Марисав	m
Марислав	m
Марица	f
Марјан	m
Марко	m
Марсу	m
Марта	f
Мартин	m
Матеј	m
Матеја	m
Матија	m
Матијаш	m
Мато	m
Маша	f
Машан	m
Машко	m
Медак	m
Меланија	f
Месец	f
Метохија	f
Мија	m
Мијаило	m
Мијак	m
Мијалко	m
Мијан	m
Мијана	f
Мијат	m
Мијо	m
Мијобрат	m
Мијушко	m
Микаило	m
Микаина	f
Микан	m
Микоња	m
Микосава	f
Микош	m
Мила	f
Миладија	f
Миладин	m
Миладинка	f
Милак	m
Милан	m
Милана	f
Миланка	f
Миланко	m
Милат	m
Милаш	m
Милашин	m
Миле	m
Милева	f
Милевка	f
Милен	m
Милена	f
Миленија	f
Миленка	f
Миленко	m
Милентије	m
Милеса	f
Милета	m
Милеш	m
Мили	m
Миливој	m
Миливоје	m
Миливојка	f
Милија	m
Милијан	m
Милијана	f
Милијаш	m
Милика	m
Милимир	m
Милимирка	f
Милин	m
Милина	f
Милинка	f
Милинко	m
Милисав	m
Милисава	f
Милисавка	f
Милић	m
Милица	f
Миличко	m
Милиша	m
Милка	f
Милкан	m
Милкица	f
Милко	m
Милна	f
Мило	m
Милобран	m
Милован	m
Милованка	f
Милоица	m
Милоја	m
Милоје	m
Милојица	m
Милојка	f
Милојко	m
Милољуб	m
Миломир	m
Миломирка	f
Милоња	m
Милорад	m
Милосав	m
Милосава	f
Милосавка	f
Милосија	f
Милослав	m
Милош	m
Милтен	m
Милука	f
Милун	m
Милуника	f
Милунка	f
Милутин	m
Милуш	m
Милуша	f
Миљ	m
Миља	f
Миљан	m
Миљана	f
Миљен	m
Миљка	f
Миљкан	m
Миљко	m
Миљојко	m
Миљурко	m
Мина	f
Миња	f
Миодраг	m
Миољка	f
Миољуб	m
Миомир	m
Миомира	f
Миомирка	f
Миона	f
Мионка	f
Мира	f
Мираш	m
Мирен	m
Мирјана	f
Мирка	f
Мирко	m
Мирна	f
Миро	m
Мироје	m
Мирољуб	m
Миросав	m
Миросава	f
Миросинка	f
Мирослав	m
Мирослава	f
Мирославка	f
Мирча	m
Мирчета	m
Мита	m
Митар	m
Митра	f
Мића	m
Мићан	m
Мићко	m
Мићо	m
Мићун	m
Михаило	m
Михајло	m
Михољка	f
Миша	m
Мишко	m
Мишљен	m
Мишо	m
Младен	m
Младена	f
Младенка	f
Млађан	m
Млађен	m
Мојаш	m
Мојсило	m
Момир	m
Момира	f
Момирка	f
Момчило	m
Моника	f
Мрђан	m
Мрђен	m
Мркша	m
Нада	f
Надежда	f
Надица	f
Нађа	f
Најда	f
Најдан	m
Ната	f
Наталија	f
Наташа	f
Наум	m
Небојша	m
Невен	m
Невена	f
Невенка	f
Невенко	m
Негица	f
Негован	m
Негованка	f
Негомир	m
Негомирка	f
Негосава	f
Негослав	m
Негослава	f
Негославка	f
Неда	f
недеља	m
Недељка	f
Недељко	m
Неђељка	f
Неђељко	m
Неђо	m
Нела	f
Немања	m
Ненад	m
Нестор	m
Нешко	m
Никашин	m
Нико	m
Никодије	m
Никодим	m
Никола	m
Николета	f
Николија	f
Николина	f
Никша	m
Нина	f
Нинко	m
Нино	m
Нинослав	m
Нићифор	m
Нишава	f
Новак	m
Новица	m
Новиша	m
Новка	f
Новко	m
Ново	m
Његован	m
Његомир	m
Његомирка	f
Његосава	f
Његослав	m
Његослава	f
Његош	m
Обрад	m
Обрадин	m
Обрадинка	f
Обрен	m
Обренија	f
Обренко	m
Обретен	m
Огњан	m
Огњана	f
Огњанка	f
Огњен	m
Огњена	f
Огњенка	f
Озрен	m
Озренка	f
Озриша	m
Ојдана	f
Олга	f
Олгица	f
Олег	m
Оливер	m
Оливера	f
Оља	f
Омиљ	m
Омиљен	m
Остоја	m
Оташ	m
Пава	f
Павија	f
Павић	m
Павка	f
Павко	m
Павле	m
Павлија	f
Павлина	f
Павлић	m
Панта	m
Пантелија	m
Панто	m
Параскева	f
Паулина	f
Паун	m
Пауна	f
Пејак	m
Пејка	f
Пејко	m
Пејо	m
Пелагија	f
Пепица	f
Пера	m
Перица	m
Периша	m
Перка	f
Перко	m
Перо	m
Перса	f
Персида	f
Персије	f
Перун	m
Перуника	f
Перунко	m
Петак	m
Петар	m
Петкана	f
Петко	m
Петоје	m
Петош	m
Петра	f
Петрашин	m
Петрија	f
Петројка	f
Петроније	m
Петруша	f
Пилип	m
Плавша	m
Пламенка	f
Планинка	f
Познан	m
Познана	f
Покрајац	m
Полексија	f
Првослав	m
Првослава	f
Првославка	f
Предраг	m
Премил	m
Прерад	m
Прибић	m
Продан	m
Продана	f
Прокопије	m
Пунан	m
Пуниша	m
Пуреш	m
Пурко	m
Пуро	m
Рада	f
Радак	m
Радан	m
Радана	f
Раданка	f
Радас	m
Радашин	m
Раде	m
Раден	m
Радена	f
Раденка	f
Раденко	m
Радета	m
Радивој	m
Радивоје	m
Радивојка	f
Радика	f
Радимир	m
Радин	m
Радина	f
Радинка	f
Радинко	m
Радисав	m
Радислав	m
Радислава	f
Радиславка	f
Радица	f
Радич	m
Радиша	m
Радман	m
Радмила	f
Радмило	m
Радна	f
Радоба	m
Радобуд	m
Радован	m
Радованка	f
Радовац	m
Радовин	m
Радовинка	f
Радоица	m
Радоја	m
Радоје	m
Радојица	m
Радојка	f
Радојко	m
Радојла	f
Радојло	m
Радоман	m
Радомир	m
Радомира	f
Радомирка	f
Радоња	m
Радосав	m
Радосија	f
Радослав	m
Радослава	f
Радославка	f
Радота	m
Радош	m
Радука	f
Радукан	m
Радул	m
Радула	f
Радуле	m
Радулин	m
Радулка	f
Радун	m
Радунка	f
Радусин	m
Радуша	f
Радушка	f
Рађен	m
Разуменка	f
Раин	m
Раица	m
Раич	m
Раичко	m
Рајак	m
Рајан	m
Рајка	f
Рајко	m
Рајна	f
Рајчета	m
Рален	m
Ралета	m
Ранисав	m
Ранка	f
Ранко	m
Раосав	m
Раско	m
Растислав	m
Растко	m
Ратибор	m
Ратка	f
Ратко	m
Ратомир	m
Рафаило	m
Рацко	m
Рачета	m
Рашко	m
Рекула	m
Реља	m
Ресан	m
Риста	m
Ристан	m
Ристивоје	m
Ристо	m
Родољуб	m
Рокса	f
Роксанда	f
Роса	f
Росанда	f
Ружа	f
Ружица	f
Рузмаринка	f
Русимир	m
Русмир	m
Русмира	f
Сава	m
Саван	m
Саватије	m
Савета	f
Саветка	f
Савиндана	f
Савић	m
Савица	f
Савка	f
Савко	m
Саво	m
Саздана	f
